trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
432,False,"{'a': 0.10375052687142655, 'e': 0.05763918159523697}",25,5,-6.528313443759933,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
433,False,"{'a': 0.10323177423706942, 'e': 0.05735098568726078}",35,15,16.628127246177623,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.10271561536588406, 'e': 0.057064230758824476}",20,8,-25.543951849981344,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
435,False,"{'a': 0.10220203728905464, 'e': 0.056778909605030355}",25,13,16.711989509377233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.10169102710260937, 'e': 0.0564950150570052}",20,10,20.17732882625958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.10118257196709632, 'e': 0.056212539981720176}",25,7,18.471681124501107,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
438,False,"{'a': 0.10067665910726084, 'e': 0.055931477281811574}",25,17,16.016163280831975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.10017327581172453, 'e': 0.055651819895402514}",25,13,3.127208322814102,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
440,False,"{'a': 0.0996724094326659, 'e': 0.0553735607959255}",30,6,22.53276205180304,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
441,False,"{'a': 0.09917404738550258, 'e': 0.055096692991945875}",30,21,18.90171430836154,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.09867817714857506, 'e': 0.054821209526986145}",25,9,28.619459910474127,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.0981847862628322, 'e': 0.05454710347935122}",25,13,-2.776486103763894,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
444,False,"{'a': 0.09769386233151803, 'e': 0.05427436796195446}",25,15,15.805514955489159,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.09720539301986043, 'e': 0.05400299612214469}",20,9,23.851124896245075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.09671936605476114, 'e': 0.053732981141533964}",30,18,21.062672295895116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.09623576922448733, 'e': 0.053464316235826294}",25,8,17.08063823864166,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
448,False,"{'a': 0.0957545903783649, 'e': 0.05319699465464716}",25,0,37.0431301907049,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
449,False,"{'a': 0.09527581742647306, 'e': 0.052931009681373924}",20,16,8.14110499641686,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.0947994383393407, 'e': 0.05266635463296705}",30,9,13.925779644918787,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
451,False,"{'a': 0.09432544114764399, 'e': 0.052403022859802216}",20,0,-13.87998714557394,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
452,False,"{'a': 0.09385381394190578, 'e': 0.05214100774550321}",25,17,15.19301253717953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.09338454487219625, 'e': 0.05188030270677569}",25,3,37.23485293061671,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.09291762214783526, 'e': 0.051620901193241815}",20,11,16.19157173513708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.0924530340370961, 'e': 0.05136279668727561}",30,7,8.80374605577597,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
456,False,"{'a': 0.0919907688669106, 'e': 0.051105982703839224}",35,18,17.53315666572007,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
